id,title__en,description__en,icon,tags,props__url,props__scheme,props__osi_approved
cecill-b,CeCILL-B Free Software License Agreement,,,"all,software",https://spdx.org/licenses/CECILL-B,spdx,
cecill-c,CeCILL-C Free Software License Agreement,,,"all,software",https://spdx.org/licenses/CECILL-C,spdx,
cern-ohl-1.1,CERN Open Hardware Licence v1.1,,,all,https://spdx.org/licenses/CERN-OHL-1.1,spdx,
cern-ohl-1.2,CERN Open Hardware Licence v1.2,,,all,https://spdx.org/licenses/CERN-OHL-1.2,spdx,
cern-ohl-p-2.0,CERN Open Hardware Licence Version 2 - Permissive,,,all,https://opensource.org/license/cern-ohl-p,spdx,y
cern-ohl-s-2.0,CERN Open Hardware Licence Version 2 - Strongly Reciprocal,,,all,https://opensource.org/license/cern-ohl-s,spdx,y
cern-ohl-w-2.0,CERN Open Hardware Licence Version 2 - Weakly Reciprocal,,,all,https://opensource.org/license/cern-ohl-w,spdx,y
cnri-jython,CNRI Jython License,,,"all,software",https://spdx.org/licenses/CNRI-Jython,spdx,
cnri-python,CNRI Python License,,,"all,software",https://opensource.org/license/cnri-python,spdx,y
cnri-python-gpl-compatible,CNRI Python Open Source GPL Compatible License Agreement,,,"all,software",https://spdx.org/licenses/CNRI-Python-GPL-Compatible,spdx,
cpal-1.0,Common Public Attribution License 1.0,,,"all,software",https://opensource.org/license/cpal_1-0,spdx,y
cpl-1.0,Common Public License 1.0,,,all,https://opensource.org/license/cpl1-0-txt,spdx,y
cpol-1.02,Code Project Open License 1.02,,,all,https://spdx.org/licenses/CPOL-1.02,spdx,
cua-opl-1.0,CUA Office Public License v1.0,,,"all,software",https://opensource.org/license/cuaoffice-php,spdx,y
caldera,Caldera License,,,all,https://spdx.org/licenses/Caldera,spdx,
clartistic,Clarified Artistic License,,,all,https://spdx.org/licenses/ClArtistic,spdx,
condor-1.1,Condor Public License v1.1,,,all,https://spdx.org/licenses/Condor-1.1,spdx,
crossword,Crossword License,,,all,https://spdx.org/licenses/Crossword,spdx,
crystalstacker,CrystalStacker License,,,all,https://spdx.org/licenses/CrystalStacker,spdx,
cube,Cube License,,,all,https://spdx.org/licenses/Cube,spdx,
d-fsl-1.0,Deutsche Freie Software Lizenz,,,"all,software",https://spdx.org/licenses/D-FSL-1.0,spdx,
doc,DOC License,,,all,https://spdx.org/licenses/DOC,spdx,
dsdp,DSDP License,,,all,https://spdx.org/licenses/DSDP,spdx,
